nie,12791
na,11906
po,11770
za,7759
się,7639
do,7531
i,6791
w,5986
go,5545
ła,5538
wy,5363
to,5190
ko,5129
z,4601
ka,4570
wa,4325
li,3993
mi,3425
no,3216
że,3150
ni,3068
ne,2941
wie,2932
przy,2877
nia,2731
ki,2721
od,2639
ny,2497
je,2492
wi,2480
ma,2435
ło,2428
prze,2398
pa,2395
le,2351
ta,2271
sta,2248
ro,2222
da,2211
ra,2180
a,2179
ja,2136
cie,2019
czy,1990
co,1949
ją,1946
ły,1929
te,1909
my,1887
bie,1883
ku,1860
cze,1809
łem,1792
dzie,1792
wo,1710
mo,1678
kie,1609
ty,1594
roz,1567
dzi,1557
o,1547
mu,1545
jak,1543
by,1526
so,1486
ce,1443
tu,1425
dy,1425
ry,1359
cy,1318
pan,1317
ci,1313
we,1264
któ,1234
ba,1230
ści,1229
bo,1226
sa,1219
ze,1175
cho,1156
raz,1147
ga,1137
wał,1106
ale,1101
re,1101
ży,1085
tak,1074
już,1074
pod,1062
ca,1050
szy,1008
pro,1004
jej,1001
lo,1000
jąc,959
sze,948
cza,938
la,936
rze,933
elu,932
spo,931
nych,916
ną,916
zna,895
sie,895
jed,891
nym,876
mie,862
pie,842
zo,820
wszyst,808
ru,802
tym,802
zy,794
bar,790
sza,774
mnie,773
pra,760
bi,754
mia,752
mek,752
rzy,750
du,744
naj,733
pi,723
tyl,723
gło,721
kę,719
śmy,712
jest,703
sto,693
gdy,686
przez,685
kleks,684
bez,682
dla,682
zu,675
su,670
nej,669
wia,667
gu,662
kiem,661
wać,653
ten,651
sko,648
przed,635
cha,634
ję,626
ków,622
tem,622
niej,620
dzo,605
ście,602
dzia,599
cia,597
wła,596
chwi,595
sy,591
ob,584
jesz,576
lu,574
tego,570
wet,561
in,558
nę,557
pew,554
było,552
pani,550
ich,550
gi,550
swo,542
niu,541
tych,540
trzy,536
czo,534
nął,534
ska,533
jego,525
de,506
rów,506
bu,505
rza,497
sia,493
był,492
ża,491
zie,487
ski,487
dział,486
może,474
pu,473
bę,469
tam,463
dze,460
ste,460
śli,453
pana,452
nim,450
śnie,448
py,447
stra,446
mó,438
nad,435
też,433
nią,433
mię,433
chy,433
czę,428
tro,424
klek,419
kra,414
łam,413
tra,412
nik,408
bra,407
cu,405
nic,403
ką,402
nu,401
ju,401
wiel,400
niem,400
wą,399
me,396
gra,393
glą,393
dał,391
wił,389
tej,387
zro,386
cił,383
są,382
au,380
słu,379
zło,376
trze,374
sło,374
nich,371
cią,370
miał,370
si,369
wę,361
peł,361
tę,361
kim,358
sem,358
nio,354
wiem,353
nas,353
zwy,350
tom,348
nak,348
nię,347
dę,347
on,344
praw,341
ców,340
więc,338
pierw,336
wró,334
czu,325
kich,324
coś,322
uwa,322
szę,321
czas,321
czym,320
była,320
im,317
rzu,317
dłu,314
tów,314
baj,312
miast,312
bro,310
cji,308
wej,306
brze,305
łu,305
aloj,305
koń,303
żył,300
skie,299
zio,294
dził,293
lew,293
mam,292
fi,290
zwie,289
den,289
dru,289
szu,287
ścią,287
każ,286
dro,285
cej,285
wil,284
stro,283
stu,280
kil,276
wych,276
strze,275
gę,273
fa,270
kró,269
gdzie,268
żeby,267
gle,267
miesz,266
ność,266
jem,265
smu,265
moż,262
wię,262
bli,261
szyb,259
kach,259
tał,258
łał,255
tą,252
oka,252
mow,251
scy,251
czył,251
pe,251
domu,250
tek,250
mógł,250
rzekł,249
śla,247
ben,246
dzić,246
stał,245
miej,243
cież,239
wio,239
jo,239
zem,239
chu,238
oczy,238
być,234
aby,234
bos,233
waż,233
dać,232
żo,231
mniej,228
szą,228
sły,226
róż,226
lej,225
niech,225
stęp,224
bym,224
cą,220
chę,219
rę,219
stem,219
par,217
dem,217
ode,217
dza,214
oko,214
nam,214
aż,212
stwo,211
two,211
dwa,208
cię,208
man,208
ani,207
chłop,207
wra,206
lę,205
szcze,205
żad,204
nicz,204
sam,204
—,203
dzy,203
nek,203
wu,200
cych,199
ścia,198
wszy,198
rem,198
u,197
obo,197
kon,196
wiek,196
ciu,196
dzieć,195
kła,195
wym,195
uda,194
ter,194
czą,194
cał,193
szczę,193
gła,193
nem,193
kan,193
oj,193
rek,192
